time,open,high,low,close,Volume
2016-09-14T03:00:00+07:00,607.91,609.54,605.57,607.46,442.34792946
2016-09-14T07:00:00+07:00,607.45,609.31,605.98,607.26,779.41421261
2016-09-14T11:00:00+07:00,607.26,609.27,606.94,607.34,131.26560649
2016-09-14T15:00:00+07:00,607.33,609.54,607.08,608.48,675.5746524
2016-09-14T19:00:00+07:00,608.49,609.52,607.55,609.32,463.2786922
2016-09-14T23:00:00+07:00,607.87,609.88,607.24,609.58,476.27717454
2016-09-15T03:00:00+07:00,609.57,610.69,607.51,608.5,369.63584601
2016-09-15T07:00:00+07:00,608.5,608.99,606.65,607.57,80.38154939
2016-09-15T11:00:00+07:00,607.57,608.32,606.43,608,85.51921881
2016-09-15T15:00:00+07:00,606.67,608.5,606.67,607.61,505.7465608
2016-09-15T19:00:00+07:00,608,608.89,606.63,607.38,604.31125003
2016-09-15T23:00:00+07:00,607.1,607.54,602.3,605.53,1396.35791957
2016-09-16T03:00:00+07:00,605.59,607,604.39,606.71,411.03391383
2016-09-16T07:00:00+07:00,606.65,607,604.4,606.48,161.85613059
2016-09-16T11:00:00+07:00,606.55,607.71,604.62,606.87,178.76249544
2016-09-16T15:00:00+07:00,607.62,608.99,606.61,608.2,483.23736706
2016-09-16T19:00:00+07:00,608.2,608.99,604.81,605.48,1018.0496484
2016-09-16T23:00:00+07:00,605.48,607.39,603.5,607.39,538.99076087
2016-09-17T03:00:00+07:00,606.85,607.6,605.27,605.69,231.98367399
2016-09-17T07:00:00+07:00,607.04,607.59,604.72,605.18,109.27801075
2016-09-17T11:00:00+07:00,606.5,606.89,604.21,604.46,102.67116956
2016-09-17T15:00:00+07:00,606.26,607,604.28,605.02,180.64193
2016-09-17T19:00:00+07:00,605.02,606.73,601.29,602.78,366.92532481
2016-09-17T23:00:00+07:00,602.78,604.67,601.1,604.48,190.11688807
2016-09-18T03:00:00+07:00,603.1,604.48,602.31,604.1,167.85375335
2016-09-18T07:00:00+07:00,602.93,604.16,601.97,603.01,189.46592914
2016-09-18T11:00:00+07:00,602.99,604.32,602.37,603.1,152.54586978
2016-09-18T15:00:00+07:00,603.04,608,603.03,607.11,311.32026667
2016-09-18T19:00:00+07:00,606.59,608.59,605.95,607.99,227.22957813
2016-09-18T23:00:00+07:00,607.71,609.06,606.58,607.83,300.24993837
