time,open,high,low,close,Volume,Volume MA
2023-08-19T18:00:00+07:00,25906,25931,25890,25898,23.11339008,71.32616571900085
2023-08-19T19:00:00+07:00,25897,25917,25871,25909,36.63154296,64.68466859250086
2023-08-19T20:00:00+07:00,25909,25968,25906,25917,41.40438192,45.975379376000845
2023-08-19T21:00:00+07:00,25921,26035,25916,25975,48.25793599,40.58705025500085
2023-08-19T22:00:00+07:00,25974,26216,25955,26210,129.70105988,43.51318541950084
2023-08-19T23:00:00+07:00,26197,26264,26114,26245,58.9372853,43.597976444500844
2023-08-20T00:00:00+07:00,26230,26230,26074,26084,69.06757257,46.187464639000844
2023-08-20T01:00:00+07:00,26084,26135,26027,26125,30.00919135,45.823951228000844
2023-08-20T02:00:00+07:00,26125,26158,26098,26126,46.0362743,46.29818494750084
2023-08-20T03:00:00+07:00,26126,26154,26035,26056,22.75980588,45.94525935700084
2023-08-20T04:00:00+07:00,26058,26088,26048,26083,10.761585,44.057493662500846
2023-08-20T05:00:00+07:00,26076,26086,26048,26055,21.92654448,44.08023114000084
2023-08-20T06:00:00+07:00,26053,26115,26049,26097,39.9376616,44.257658658000835
2023-08-20T07:00:00+07:00,26097,26181,26079,26181,46.56176026,45.68352542600084
2023-08-20T08:00:00+07:00,26181,26200,26047,26071,59.05698481,47.37018714400084
2023-08-20T09:00:00+07:00,26067,26099,26048,26092,19.33342972,45.25740115500084
2023-08-20T10:00:00+07:00,26094,26131,26090,26104,17.43723927,41.75998300950084
2023-08-20T11:00:00+07:00,26104,26130,26099,26122,4.48672941,39.14519756500084
2023-08-20T12:00:00+07:00,26121,26154,26068,26090,32.74235278,39.11945922600084
2023-08-20T13:00:00+07:00,26089,26092,26049,26064,15.09302892,38.66278782400085
2023-08-20T14:00:00+07:00,26063,26090,26060,26089,21.1554871,38.56489267500085
2023-08-20T15:00:00+07:00,26088,26108,26057,26108,8.49672243,37.15815164850084
2023-08-20T16:00:00+07:00,26108,26140,26094,26140,15.76266958,35.87606603150084
2023-08-20T17:00:00+07:00,26139,26152,26117,26149,22.67997621,34.59716804250084
2023-08-20T18:00:00+07:00,26150,26188,26143,26179,29.31739053,29.57798457500084
2023-08-20T19:00:00+07:00,26180,26193,26140,26180,20.17544418,27.639892519000842
2023-08-20T20:00:00+07:00,26185,26210,26132,26138,51.97634445,26.785331113000844
2023-08-20T21:00:00+07:00,26139,26148,26066,26066,29.54997639,26.762370365000844
2023-08-20T22:00:00+07:00,26066,26131,25979,26107,82.04992225,28.563052762500842
2023-08-20T23:00:00+07:00,26105,26123,26010,26057,45.6238068,29.706252808500842
2023-08-21T00:00:00+07:00,26051,26152,26032,26116,40.45566846,31.19095698150084
2023-08-21T01:00:00+07:00,26126,26154,26111,26114,3.20851471,30.255055493000846
2023-08-21T02:00:00+07:00,26118,26143,26109,26138,15.69163614,29.042754220000848
2023-08-21T03:00:00+07:00,26137,26297,26137,26228,58.3244178,29.630887097000844
2023-08-21T04:00:00+07:00,26235,26242,26149,26179,49.31763059,29.143919386000846
2023-08-21T05:00:00+07:00,26181,26224,26181,26208,12.72712046,28.813603923000848
2023-08-21T06:00:00+07:00,26207,26209,26153,26192,10.7087772,28.47718081950085
2023-08-21T07:00:00+07:00,26193,26194,26122,26139,13.23571544,28.91463012100085
2023-08-21T08:00:00+07:00,26139,26165,26085,26121,30.78970837,28.816997900500848
2023-08-21T09:00:00+07:00,26138,26158,26078,26094,30.24402238,29.574547573500848
2023-08-21T10:00:00+07:00,26094,26106,26068,26090,10.46562212,29.04005432450085
2023-08-21T11:00:00+07:00,26088,26088,26043,26055,12.20324515,29.225380460500855
2023-08-21T12:00:00+07:00,26053,26174,26047,26095,69.01594954,31.888044458500854
2023-08-21T13:00:00+07:00,26100,26116,26020,26032,52.43248302,33.37566979900085
2023-08-21T14:00:00+07:00,26025,26040,25996,26016,38.14431082,33.81701581350085
2023-08-21T15:00:00+07:00,26013,26056,25978,26044,31.8695474,34.401720974500854
2023-08-21T16:00:00+07:00,26046,26077,25995,26018,40.96764166,33.85128583500085
2023-08-21T17:00:00+07:00,26017,26032,25884,25935,139.2497878,39.336276405500854
2023-08-21T18:00:00+07:00,25936,26033,25924,26026,71.67679553,38.817620069500855
2023-08-21T19:00:00+07:00,26026,26074,25990,25999,60.70086777,39.57147311800086
2023-08-21T20:00:00+07:00,25996,26134,25980,26123,78.12118819,41.45474910450086
2023-08-21T21:00:00+07:00,26134,26187,26058,26105,89.4803144,45.76833908900086
2023-08-21T22:00:00+07:00,26110,26130,25828,25941,265.69699263,58.268606913500854
2023-08-21T23:00:00+07:00,25944,26040,25938,26016,92.10903014,59.95783753050085
2023-08-22T00:00:00+07:00,26012,26068,26001,26051,15.9199752,58.287954761000854
2023-08-22T01:00:00+07:00,26056,26103,26024,26033,49.16132408,60.10966494200086
2023-08-22T02:00:00+07:00,26030,26155,26030,26100,93.21792157,64.23512216050086
2023-08-22T03:00:00+07:00,26098,26156,26088,26110,135.33097326,70.33988505150087
2023-08-22T04:00:00+07:00,26113,26240,26080,26196,134.2568666,75.51324296300086
2023-08-22T05:00:00+07:00,26192,26192,26130,26130,17.52256234,74.87716996100087
2023-08-22T06:00:00+07:00,26132,26149,26115,26125,37.54179824,76.23097876700086
2023-08-22T07:00:00+07:00,26125,26137,26091,26097,15.68124891,76.40487895500087
2023-08-22T08:00:00+07:00,26097,26106,26040,26040,26.73919292,74.29104112400087
2023-08-22T09:00:00+07:00,26042,26064,26036,26058,13.27924275,72.33337911050087
2023-08-22T10:00:00+07:00,26058,26066,26020,26050,12.67509082,71.05991811050086
2023-08-22T11:00:00+07:00,26049,26049,26000,26009,13.9326312,70.16307230050086
2023-08-22T12:00:00+07:00,26007,26040,25997,26038,18.48135789,69.03875811200086
2023-08-22T13:00:00+07:00,26040,26080,26023,26057,37.8791912,63.97022828200086
2023-08-22T14:00:00+07:00,26057,26105,26053,26093,27.68816495,61.770796753000866
2023-08-22T15:00:00+07:00,26097,26102,26045,26055,38.4712452,60.65931562450087
2023-08-22T16:00:00+07:00,26053,26075,26030,26044,12.3801747,57.372264950000876
2023-08-22T17:00:00+07:00,26042,26055,26020,26036,11.41307207,53.46890283350088
2023-08-22T18:00:00+07:00,26037,26059,26023,26047,8.51256713,40.60968155850087
2023-08-22T19:00:00+07:00,26043,26090,26040,26041,75.83860975,39.79616053900087
2023-08-22T20:00:00+07:00,26040,26051,25969,25995,146.22345417,46.31133448750087
2023-08-22T21:00:00+07:00,25992,26044,25949,25984,127.80833649,50.243685108000875
2023-08-22T22:00:00+07:00,25983,26014,25912,25929,74.66830637,49.31620434800087
2023-08-22T23:00:00+07:00,25918,26043,25790,26012,177.5016462,51.424737995000875
2023-08-23T00:00:00+07:00,26024,26024,25721,25822,135.45936317,51.484862823500876
2023-08-23T01:00:00+07:00,25822,25994,25766,25901,77.27662063,54.47256573800087
2023-08-23T02:00:00+07:00,25898,25950,25764,25770,77.24168713,56.45756018250087
2023-08-23T03:00:00+07:00,25776,25863,25776,25857,87.93529533,60.070262503500864
2023-08-23T04:00:00+07:00,25850,25889,25350,25674,421.02339434,79.78447257450087
2023-08-23T05:00:00+07:00,25660,25844,25639,25803,60.36922393,82.13897163350086
2023-08-23T06:00:00+07:00,25802,26049,25777,26042,87.12543561,85.86148887300087
2023-08-23T07:00:00+07:00,26048,26171,26022,26029,55.94482271,87.96209844850087
2023-08-23T08:00:00+07:00,26029,26069,25985,26041,14.22828521,87.74944481450086
2023-08-23T09:00:00+07:00,26047,26081,26023,26031,7.76029408,86.24349995850086
2023-08-23T10:00:00+07:00,26035,26066,25984,25999,48.47747339,87.28296538050085
2023-08-23T11:00:00+07:00,25994,26046,25972,26044,31.53882234,86.93634423750086
