time,open,high,low,close,volume,volume_ma
2023-09-11T23:00:00+07:00,1923.075,1925.18,1922.835,1923.475,3586,5315.85
2023-09-12T00:00:00+07:00,1923.475,1924.38,1922.455,1922.705,3764,5456.15
2023-09-12T01:00:00+07:00,1922.705,1922.965,1921.52,1921.89,2794,5494.1
2023-09-12T02:00:00+07:00,1921.89,1923.205,1921.635,1922.775,2795,5510.95
2023-09-12T03:00:00+07:00,1922.775,1922.775,1922.28,1922.38,918,5391.2
2023-09-12T05:00:00+07:00,1922.38,1923.41,1922.38,1922.54,634,5096.65
2023-09-12T06:00:00+07:00,1922.54,1922.54,1921.315,1921.695,1483,4939.2
2023-09-12T07:00:00+07:00,1921.695,1922.67,1921.255,1921.595,2766,4935.95
2023-09-12T08:00:00+07:00,1921.595,1923.55,1920.365,1921.93,5674,5020.55
2023-09-12T09:00:00+07:00,1921.93,1923.425,1921.305,1923.04,4656,4925.75
2023-09-12T10:00:00+07:00,1923.04,1924.365,1922.29,1923.74,2900,4794.3
2023-09-12T11:00:00+07:00,1923.74,1924.555,1922.29,1922.31,2696,4603.6
2023-09-12T12:00:00+07:00,1922.31,1922.4,1919.96,1920.315,3836,4557.35
2023-09-12T13:00:00+07:00,1920.315,1920.745,1918.94,1920.055,5743,4634.95
2023-09-12T14:00:00+07:00,1920.055,1920.145,1918.865,1919.055,4849,4709.0
2023-09-12T15:00:00+07:00,1919.055,1921.4,1918.655,1919.79,5001,4740.9
2023-09-12T16:00:00+07:00,1919.79,1920.105,1918.66,1919.03,3812,4523.65
2023-09-12T17:00:00+07:00,1919.03,1919.675,1914.926,1915.65,6299,4160.25
2023-09-12T18:00:00+07:00,1915.65,1915.68,1911.1,1913.01,7934,3939.0
2023-09-12T19:00:00+07:00,1913.01,1913.01,1908.465,1909.79,11501,4182.05
2023-09-12T20:00:00+07:00,1909.79,1911.955,1907.62,1909.28,15058,4755.65
2023-09-12T21:00:00+07:00,1909.28,1914.825,1908.425,1911.95,11889,5161.9
2023-09-12T22:00:00+07:00,1911.95,1913.785,1911.74,1912.535,6862,5365.3
2023-09-12T23:00:00+07:00,1912.535,1915.1,1911.765,1912.37,5440,5497.55
2023-09-13T00:00:00+07:00,1912.37,1913.36,1911.835,1912.075,4678,5685.55
2023-09-13T01:00:00+07:00,1912.075,1913.545,1911.86,1913.425,3344,5821.05
2023-09-13T02:00:00+07:00,1913.425,1913.665,1912.685,1913.06,3091,5901.45
2023-09-13T03:00:00+07:00,1913.06,1913.595,1912.72,1913.43,1867,5856.5
