time,open,high,low,close,volume,volume_ma
2021-07-11T01:00:00+07:00,2085.63,2096.98,2080.11,2096.98,1619.212224,2933.5289092000403
2021-07-11T02:00:00+07:00,2096.82,2110.0,2089.36,2093.09,1102.700807,2904.9309862500404
2021-07-11T03:00:00+07:00,2093.11,2097.75,2077.24,2095.01,1861.174663,2645.87446120004
2021-07-11T04:00:00+07:00,2095.0,2107.52,2090.64,2105.05,1067.142556,2594.0416941000403
2021-07-11T05:00:00+07:00,2105.04,2119.31,2105.04,2115.34,1064.725663,2522.49162255004
2021-07-11T06:00:00+07:00,2115.54,2129.17,2107.95,2110.82,1306.308845,2502.44113160004
2021-07-11T07:00:00+07:00,2110.77,2139.25,2107.92,2118.0,1984.210729,2407.57428115004
2021-07-11T08:00:00+07:00,2118.43,2126.04,2108.0,2116.12,1163.923314,2326.84213725004
2021-07-11T09:00:00+07:00,2116.15,2119.56,2095.5,2096.51,1094.134206,2268.29722510004
2021-07-11T10:00:00+07:00,2096.7,2101.86,2084.18,2090.46,2042.360696,2293.7095412500407
2021-07-11T11:00:00+07:00,2090.79,2097.75,2081.07,2093.53,1578.022672,2260.2141400500404
2021-07-11T12:00:00+07:00,2093.54,2105.0,2089.08,2100.29,2229.05086,2241.7857221000404
2021-07-11T13:00:00+07:00,2100.3,2107.98,2087.34,2091.41,1749.588052,2170.6852018000404
2021-07-11T14:00:00+07:00,2091.41,2104.13,2087.55,2099.86,1371.611423,2056.2062770500406
2021-07-11T15:00:00+07:00,2099.85,2120.99,2090.71,2112.55,2794.485214,2130.0366313000404
2021-07-11T16:00:00+07:00,2112.11,2129.91,2107.45,2119.31,2278.467802,2078.9428274000406
2021-07-11T17:00:00+07:00,2119.32,2135.0,2110.4,2120.61,1690.115589,2078.2323037500405
2021-07-11T18:00:00+07:00,2120.88,2129.99,2115.68,2129.43,1875.371149,2084.40434480004
2021-07-11T19:00:00+07:00,2129.46,2138.39,2120.11,2122.77,1161.421237,1902.8523905000409
2021-07-11T20:00:00+07:00,2123.58,2135.55,2113.28,2135.26,1502.342511,1626.8185106000406
2021-07-11T21:00:00+07:00,2135.53,2149.0,2127.17,2145.8,2003.531863,1646.0344925500406
2021-07-11T22:00:00+07:00,2145.79,2151.27,2134.21,2145.33,2575.982955,1719.6985999500405
